Term,May,June,Change
R186,9.89,9.16,-0.74
R2 030,11.31,10.48,-0.83
R213,11.72,10.89,-0.82
R2 032,11.93,11.13,-0.81
R2 035,12.44,11.73,-0.71
R209,12.47,11.79,-0.69
R2 037,12.67,12.04,-0.64
R2 040,12.77,12.28,-0.49
R214,12.66,12.14,-0.52
R2 044,12.8,12.34,-0.46
R2 048,12.74,12.28,-0.46
R2 053,12.75,12.32,-0.42
