Term,May,June,Change
3Y, 9.01 , 8.46 ,-0.55 
4Y, 9.14 , 8.55 ,-0.60 
5Y, 9.35 , 8.71 ,-0.64 
6Y, 9.59 , 8.92 ,-0.67 
7Y, 9.82 , 9.14 ,-0.69 
8Y, 10.03 , 9.33 ,-0.70 
9Y, 10.19 , 9.50 ,-0.70 
10Y, 10.30 , 9.61 ,-0.70 
12Y, 10.51 , 9.80 ,-0.72 
15Y, 10.69 , 10.01 ,-0.68 
20Y, 10.64 , 10.00 ,-0.64 
25Y, 10.49 , 9.82 ,-0.68 
30Y, 10.41 , 9.73 ,-0.69 
