Period,Proxy,LCD,NCD,BCD,Maturity,Coupon,Yield
1Y,TB,2023/09/22,2024/03/22,2024/03/12,2024/09/22,0.0913,0.0913
4Y,R186,2023/06/21,2023/12/21,2023/12/11,2026/12/21,0.105,0.0926
7Y,R2 030,2023/07/31,2024/01/31,2024/01/21,2030/01/31,0.08,0.10705
12Y,R2 035,2023/02/28,2023/08/31,2023/08/21,2035/02/28,0.08875,0.12235
20Y,R2 044,2023/07/31,2024/01/31,2024/01/21,2044/01/31,0.0875,0.1282
30Y,R2 053,2023/03/31,2023/09/30,2023/09/20,2053/03/31,0.11625,0.1272
