Term,June,July,Change
R186,9.16,8.875,-0.285
R2 030,10.48,10.165,-0.315
R213,10.89,10.585,-0.305
R2 032,11.13,10.82,-0.31
R2 035,11.73,11.475,-0.255
R209,11.79,11.535,-0.255
R2 037,12.04,11.82,-0.22
R2 040,12.28,12.07,-0.21
R214,12.14,11.895,-0.245
R2 044,12.34,12.135,-0.205
R2 048,12.28,12.055,-0.225
R2 053,12.32,12.045,-0.275
