Period,Proxy,LCD,NCD,BCD,Maturity,Coupon,Yield,nPeriods,Cumex,DaysAcc,CouponPay,Factor,BrokenPeriod,AccInt,AccIntRound,BrokenPeriodDF,AIP0,Clean,CleanRound,AIP0Round,AllInPrice,dbpf,d2bpf,dcpn,d2cpn,dr,d2r,daip,d2aip,deltapy,rpbppy,dmodpy,seconddiff,convpy,DurationFunc,MDFunc,DeltaFunc,RPBPFunc,ConvexityFunc,RPBP_bps,B/E,Sharpe,-100bps_CapRt,-50bps_CapRt,-25bps_CapRt,0bps_CapRt,+25bps_CapRt,+50bps_CapRt,+100bps_CapRt,-100bps_TotRt,-50bps_TotRt,-25bps_TotRt,0bps_TotRt,+25bps_TotRt,+50bps_TotRt,+100bps_TotRt
1Y,TB,2023-04-17,2023-10-17,2023-10-07,2024-10-17,0.0913,0.0913,2.0,0,0,0.0,0.9563429445799264,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.13296411084014748,0.09130000000009135,1.9126858891598528,2.0,2.04565,2.0913000000000914,0.009354673861138656,0.9354673861138656,0.9354673861138656,0.0001331959355365359,1.331959355365359,0.9781714722899635,0.9354673861138656,-0.9354673861138656,93.54673861138656,1.331959355365359,9.354007881460973e-05,94.07732077541887,0.9407732077541887,0.009421700000000088,0.004693999999999976,0.0023428000000000893,0.0,-0.002334500000000017,-0.004660699999999962,-0.009288500000000033,0.1007217000000001,0.09599399999999998,0.0936428000000001,0.0913,0.08896549999999999,0.08663930000000004,0.08201149999999997
4Y,R186,2023-06-21,2023-12-21,2023-12-11,2026-12-21,0.105,0.0926,6.0,1,118,0.0525,0.9557488292076842,0.3551912568306011,0.033945205479452054,0.0339452,0.9840525263102095,1.0670525431511237,1.0331073376716717,1.0331073,1.0670525,1.0670525,0.36570994692947645,-0.24673111181274712,0.9502961988019789,3.2124065330358684,4.784869788996533,25.03204630113536,6.040260355050966,31.721298000450457,0.0275875550150509,2.75875550150509,2.5853980956935954,0.0009253752342961984,8.672255903961599,2.705102027524209,2.5853980956935954,-2.75875550150509,275.875550150509,8.672255903961599,0.0002758292813887942,36.61685209469685,0.36616852094696856,0.028056400000000092,0.013910199999999984,0.006925900000000151,0.0,-0.006867999999999874,-0.01367879999999988,-0.0271307999999999,0.1206564000000001,0.10651019999999999,0.09952590000000015,0.0926,0.08573200000000013,0.07892120000000012,0.0654692000000001
7Y,R2 030,2023-07-31,2024-01-31,2024-01-21,2030-01-31,0.08,0.10705,12.0,1,78,0.04,0.9491943712773783,0.5760869565217391,0.017095890410958905,0.0170959,0.9704085173125949,0.8951752236391228,0.8780793332281639,0.8780793,0.8951752000000001,0.8951752000000001,0.5889622886923135,-0.26303231861508924,2.1541840456871744,15.589309143268084,6.762198921152471,78.36560180247874,9.1958355071067,101.43483237471531,0.041425857490512016,4.142585749051202,4.6276815410560985,0.0024516970715021615,27.387902072154827,4.875378195541127,4.6276815410560985,-4.142585749051202,414.25857490512016,27.387902072154827,0.0004141359900515451,59.28004469484627,0.5928004469484627,0.042679299999999976,0.021022800000000008,0.010433499999999984,0.0,-0.010280199999999962,-0.020409800000000033,-0.0402266,0.14972929999999998,0.12807280000000001,0.11748349999999999,0.10705,0.09676980000000004,0.08664019999999997,0.0668234
12Y,R2 035,2023-02-28,2023-08-31,2023-08-21,2035-02-28,0.08875,0.12235,23.0,0,47,0.0,0.9423516385139115,-0.2554347826086957,0.011428082191780821,0.0114281,1.0152824971750403,0.8076211491907918,0.7961930669990109,0.7961931,0.8076212,0.8076212,-0.27520349448460324,0.3666360041738611,5.426511586672207,73.1887269055567,6.228932383085704,145.41972107566139,11.614653644817132,215.82573908096663,0.05157060754807171,5.157060754807171,6.385494529870156,0.004740933759489698,58.7024431687739,6.776127157734963,6.385494529870156,-5.157060754807171,515.7060754807171,58.7024431687739,0.0005154690287927427,77.30823342254126,0.7730823342254126,0.05402680000000004,0.026388500000000037,0.013042100000000056,0.0,-0.01274580000000003,-0.025202999999999975,-0.049281200000000025,0.17637680000000006,0.14873850000000005,0.13539210000000007,0.12235,0.10960419999999997,0.09714700000000002,0.07306879999999998
20Y,R2 044,2023-07-31,2024-01-31,2024-01-21,2044-01-31,0.0875,0.1282,40.0,1,78,0.04375,0.93976130062964,0.5760869565217391,0.018698630136986298,0.0186986,0.9648410362200157,0.7262611890662161,0.7075625589292298,0.7075626,0.7262612,0.7262612,0.5914611888262075,-0.26679978467574705,8.63192937378198,180.99882372912,3.546048790833022,147.16067021469135,12.195021449398386,330.8265218593467,0.05385024536459442,5.385024536459442,7.414721503034228,0.00695681887360966,95.78948832196544,7.890005151378722,7.414721503034228,-5.385024536459442,538.5024536459442,95.78948832196544,0.0005381546127022638,84.91983329943827,0.8491983329943827,0.05752360000000001,0.027818499999999968,0.013682899999999942,0.0,-0.013248100000000096,-0.0260783,-0.05055010000000004,0.18572360000000002,0.15601849999999998,0.14188289999999995,0.1282,0.11495189999999991,0.10212170000000001,0.07764989999999997
30Y,R2 053,2023-03-31,2023-09-30,2023-09-20,2053-03-31,0.11625,0.1272,59.0,0,17,0.0,0.940203083866115,-0.09289617486338798,0.005414383561643836,0.0054144,1.0057443564856707,0.9214426311291904,0.9160282475675466,0.9160282,0.9214426,0.9214426,-0.09937193911742467,0.11551037644294307,14.319302410873124,382.6492940444919,1.6508550758645004,101.83926860399,15.970853207429379,484.2034948969381,0.0705897209364335,7.05897209364335,7.660783312648395,0.010122891214947275,109.85916230644509,8.148009131332834,7.660783312648395,-7.05897209364335,705.8972093643349,109.85916230644509,0.0007053910648035876,63.369104359787265,0.6336910435978726,0.0759959,0.03660210000000008,0.017969000000000013,0.0,-0.017336099999999965,-0.034068999999999905,-0.06583589999999995,0.2031959,0.1638021000000001,0.14516900000000002,0.1272,0.10986390000000004,0.0931310000000001,0.06136410000000006
