Americas,Region,COUNTRY_FULL_NAME,YLD_YTM_MID,VOLATILITY_30D
EI240045 Corp,Americas,ARGENTINA,18.15692086,0.097909525
ZM833991 Corp,Americas,CANADA,3.515938966,10.63178921
91282CHC Govt,Americas,UNITED STATES,3.948791454,8.501868248
BT849229 Corp,Americas,CHILE,4.991094469,7.788332462
BS197652 Corp,Americas,PERU,5.243150802,7.94861412
BZ864048 Corp,Americas,CHILE,5.2999,3.495493889
BT316586 Corp,Americas,MEXICO,5.514131759,9.188946724
ZN384489 Corp,Americas,PANAMA,5.853849453,7.183008671
ZK086847 Corp,Americas,BRAZIL,6.091701859,6.600558758
AZ176124 Corp,Americas,PERU,6.764567316,6.191682339
EC830958 Corp,Americas,COLOMBIA,7.812640043,8.358861923
ZN793581 Corp,Americas,MEXICO,8.843148969,6.218963623
AW627458 Corp,Americas,COLOMBIA,10.29792369,12.84011745
BT274981 Corp,Americas,BRAZIL,10.8623,13.6662941
EC915295 Corp,EMEA,SWITZERLAND,0.984646035,5.407771111
BW183328 Corp,EMEA,SWEDEN,2.503953917,8.30237484
ZM198538 Corp,EMEA,GERMANY,2.472464586,8.537811279
ZM652763 Corp,EMEA,DENMARK,2.764032466,8.279051781
ZM660522 Corp,EMEA,NETHERLANDS,2.833317593,8.93142128
BT494592 Corp,EMEA,IRELAND,2.896138544,9.248551369
ZL984408 Corp,EMEA,FRANCE,3.035594184,8.980806351
BV413229 Corp,EMEA,SNAT,3.055431056,8.051114082
ZK372958 Corp,EMEA,FINLAND,3.067950506,8.971559525
ZM205134 Corp,EMEA,AUSTRIA,3.116726472,8.543727875
ZM326915 Corp,EMEA,BELGIUM,3.146066027,8.817616463
BV750432 Corp,EMEA,PORTUGAL,3.210534924,8.805182457
ZM200087 Corp,EMEA,SLOVENIA,3.304765049,9.164857864
ZM887876 Corp,EMEA,NORWAY,3.815397312,6.251500607
BR705021 Corp,EMEA,ISRAEL,3.84,7.914487362
BO277226 Corp,EMEA,CROATIA,3.789466236,5.976051331
ZM480429 Corp,EMEA,GREECE,3.758453632,9.242565155
AW984753 Corp,EMEA,CYPRUS,3.870580518,7.474216938
ZK143322 Corp,EMEA,CZECH,4.083384111,7.840968609
ZK356093 Corp,EMEA,ITALY,4.114194245,10.36500645
ZN905632 Corp,EMEA,BRITAIN,4.321472943,8.551607132
ZM351403 Corp,EMEA,SAUDI ARABIA,4.854476382,5.918176651
ZN955459 Corp,EMEA,POLAND,5.423706072,7.35178566
BT439643 Corp,EMEA,HUNGARY,7.287102566,9.430487633
BR418731 Corp,EMEA,TURKEY,7.977855391,11.31742382
EK773288 Corp,EMEA,SOUTH AFRICA,11.51398,8.273071289
AM854915 Corp,EMEA,RUSSIA,10.23,2.39009428
BZ902845 Corp,EMEA,TURKEY,18.17,38.42644501
BK633909 Corp,EMEA,UKRAINE,27.06487026,51.5366745
AS829623 Corp,EMEA,LEBANON,90.33027267,38.29833984
EJ592529 Corp,Asia/Pacific,PHILIPPINES,6.348119,8.923504829
BZ501179 Corp,Asia/Pacific,THAILAND,2.595534648,1.640320897
ZK711146 Corp,Asia/Pacific,CHINA,2.660748583,1.38846612
EJ801575 Corp,Asia/Pacific,SINGAPORE,3.037605,5.428442478
BT458480 Corp,Asia/Pacific,MALAYSIA,3.868,2.832618237
BV865034 Corp,Asia/Pacific,AUSTRALIA,4.059089708,9.866681099
QJ109447 Corp,Asia/Pacific,NEW ZEALAND,4.682979351,7.668753624
ZM320328 Corp,Asia/Pacific,PHILIPPINES,4.778091545,5.877897739
ZM226890 Corp,Asia/Pacific,INDONESIA,4.864269405,6.845459938
ZM764311 Corp,Asia/Pacific,INDIA,7.178237658,2.574378014
BH785854 Corp,Asia/Pacific,PAKISTAN,16.8242604,30.26750374
