Americas,Region,COUNTRY_FULL_NAME,YLD_YTM_MID,VOLATILITY_30D
EI240045 Corp,Americas,ARGENTINA,16.75349344,82.30127716
ZM833991 Corp,Americas,CANADA,3.983145126,8.238754272
91282CHC Govt,Americas,UNITED STATES,4.511870008,7.042314053
BT849229 Corp,Americas,CHILE,5.692826471,8.191273689
BS197652 Corp,Americas,PERU,5.924231397,9.525672913
BZ864048 Corp,Americas,CHILE,5.9729,4.29517746
BT316586 Corp,Americas,MEXICO,6.345528297,9.365506172
ZN384489 Corp,Americas,PANAMA,6.723481959,9.024991035
ZK086847 Corp,Americas,BRAZIL,6.755646467,6.647403717
AZ176124 Corp,Americas,PERU,7.330573187,10.22680664
EC830958 Corp,Americas,COLOMBIA,8.275995106,7.030857563
ZN793581 Corp,Americas,MEXICO,9.956187598,8.198769569
AW627458 Corp,Americas,COLOMBIA,11.99275438,12.68644905
BT274981 Corp,Americas,BRAZIL,11.8693,8.690742493
EC915295 Corp,EMEA,SWITZERLAND,1.032104591,3.930092573
BW183328 Corp,EMEA,SWEDEN,2.917535294,5.875775337
ZM198538 Corp,EMEA,GERMANY,2.746847683,7.187768936
ZM652763 Corp,EMEA,DENMARK,3.052778566,7.255843163
ZM660522 Corp,EMEA,NETHERLANDS,3.114705496,7.494075775
BT494592 Corp,EMEA,IRELAND,3.180002535,7.860961437
ZL984408 Corp,EMEA,FRANCE,3.331794805,7.530143738
BV413229 Corp,EMEA,SNAT,3.37854357,6.596726418
ZK372958 Corp,EMEA,FINLAND,3.33687482,7.666898727
ZM205134 Corp,EMEA,AUSTRIA,3.369908646,7.295009613
ZM326915 Corp,EMEA,BELGIUM,3.422457523,7.526708603
BV750432 Corp,EMEA,PORTUGAL,3.520209072,7.433541298
ZM200087 Corp,EMEA,SLOVENIA,3.596573022,7.195721626
ZM887876 Corp,EMEA,NORWAY,3.940558761,6.652226925
BR705021 Corp,EMEA,ISRAEL,4.13,6.686133385
BO277226 Corp,EMEA,CROATIA,3.934168898,3.528465986
ZM480429 Corp,EMEA,GREECE,4.268844196,7.57337141
AW984753 Corp,EMEA,CYPRUS,4.140196279,6.478027821
ZK143322 Corp,EMEA,CZECH,4.750140562,5.115188122
ZK356093 Corp,EMEA,ITALY,4.684035981,9.286126137
ZN905632 Corp,EMEA,BRITAIN,4.298878948,8.763385773
ZM351403 Corp,EMEA,SAUDI ARABIA,5.402942996,6.853462696
ZN955459 Corp,EMEA,POLAND,5.810047625,7.635746956
BT439643 Corp,EMEA,HUNGARY,7.294321214,9.732135773
BR418731 Corp,EMEA,TURKEY,8.494513848,8.59210968
EK773288 Corp,EMEA,SOUTH AFRICA,12.45949,7.339768887
AM854915 Corp,EMEA,RUSSIA,11.04,6.271085262
BZ902845 Corp,EMEA,TURKEY,23.56,43.46229172
BK633909 Corp,EMEA,UKRAINE,30.03004092,19.13268471
AS829623 Corp,EMEA,LEBANON,89.97924819,28.77116585
EJ592529 Corp,Asia/Pacific,PHILIPPINES,6.505206,4.495053291
BZ501179 Corp,Asia/Pacific,THAILAND,3.196988094,3.702366352
ZK711146 Corp,Asia/Pacific,CHINA,2.711241698,2.091741323
EJ801575 Corp,Asia/Pacific,SINGAPORE,3.4077927,4.030913353
ZL960404 Corp,Asia/Pacific,SOUTH KOREA,4.033567615,5.806026459
BT458480 Corp,Asia/Pacific,MALAYSIA,3.99,2.308281183
BV865034 Corp,Asia/Pacific,AUSTRALIA,4.376660956,7.647589684
QJ109447 Corp,Asia/Pacific,NEW ZEALAND,5.177985035,7.085782051
ZM320328 Corp,Asia/Pacific,PHILIPPINES,5.423128154,6.804516315
ZM226890 Corp,Asia/Pacific,INDONESIA,5.451960571,6.610198975
ZM764311 Corp,Asia/Pacific,INDIA,7.206305758,3.056852579
BH785854 Corp,Asia/Pacific,PAKISTAN,16.85215476,5.969311237
